dataset,model,method,drift_type,window_size,tda_subsample,pca_dim,seed,auc,detection_delay,fpr,runtime_per_window
ag_news,minilm,centroid,no_drift,200,150,50,42,,,0.3333333333333333,0.9500529885292053
ag_news,minilm,covariance,no_drift,200,150,50,42,,,0.6666666666666666,0.9500529885292053
ag_news,minilm,mmd,no_drift,200,150,50,42,,,0.0,0.9500529885292053
ag_news,minilm,knn,no_drift,200,150,50,42,,,0.26666666666666666,0.9500529885292053
ag_news,minilm,energy,no_drift,200,150,50,42,,,0.0,0.9500529885292053
ag_news,minilm,classifier,no_drift,200,150,50,42,,,0.26666666666666666,0.9500529885292053
ag_news,minilm,tda_bottleneck_h0,no_drift,200,150,50,42,,,0.2,0.6303182601928711
ag_news,minilm,tda_h0_max_lifetime,no_drift,200,150,50,42,,,0.3333333333333333,0.6303182601928711
ag_news,minilm,tda_h0_mean_lifetime,no_drift,200,150,50,42,,,0.0,0.6303182601928711
ag_news,minilm,tda_h0_std_lifetime,no_drift,200,150,50,42,,,0.06666666666666667,0.6303182601928711
ag_news,minilm,tda_h0_total_persistence,no_drift,200,150,50,42,,,0.0,0.6303182601928711
ag_news,minilm,tda_h1_max_lifetime,no_drift,200,150,50,42,,,0.26666666666666666,0.6303182601928711
ag_news,minilm,tda_h1_n_features,no_drift,200,150,50,42,,,0.13333333333333333,0.6303182601928711
ag_news,minilm,tda_h1_total_persistence,no_drift,200,150,50,42,,,0.3333333333333333,0.6303182601928711
ag_news,minilm,tda_landscape_h0_L1_norm,no_drift,200,150,50,42,,,0.3333333333333333,0.6303182601928711
ag_news,minilm,tda_landscape_h0_L2_norm,no_drift,200,150,50,42,,,0.26666666666666666,0.6303182601928711
ag_news,minilm,tda_landscape_h0_L3_norm,no_drift,200,150,50,42,,,0.26666666666666666,0.6303182601928711
ag_news,minilm,tda_landscape_h1_L1_norm,no_drift,200,150,50,42,,,0.13333333333333333,0.6303182601928711
ag_news,minilm,tda_landscape_h1_L2_norm,no_drift,200,150,50,42,,,0.13333333333333333,0.6303182601928711
ag_news,minilm,tda_landscape_h1_L3_norm,no_drift,200,150,50,42,,,0.06666666666666667,0.6303182601928711
ag_news,minilm,tda_pe_h0,no_drift,200,150,50,42,,,0.0,0.6303182601928711
ag_news,minilm,tda_pe_h1,no_drift,200,150,50,42,,,0.06666666666666667,0.6303182601928711
ag_news,minilm,tda_phd,no_drift,200,150,50,42,,,0.06666666666666667,0.6303182601928711
ag_news,minilm,tda_sliced_wass_h0,no_drift,200,150,50,42,,,0.13333333333333333,0.6303182601928711
ag_news,minilm,tda_sliced_wass_h1,no_drift,200,150,50,42,,,0.2,0.6303182601928711
ag_news,minilm,tda_wass_h0,no_drift,200,150,50,42,,,0.13333333333333333,0.6303182601928711
ag_news,minilm,tda_wass_h1,no_drift,200,150,50,42,,,0.26666666666666666,0.6303182601928711
ag_news,minilm,centroid,no_drift,200,150,50,123,,,0.6,1.01864413022995
ag_news,minilm,covariance,no_drift,200,150,50,123,,,0.5333333333333333,1.01864413022995
ag_news,minilm,mmd,no_drift,200,150,50,123,,,0.0,1.01864413022995
ag_news,minilm,knn,no_drift,200,150,50,123,,,0.0,1.01864413022995
ag_news,minilm,energy,no_drift,200,150,50,123,,,0.2,1.01864413022995
ag_news,minilm,classifier,no_drift,200,150,50,123,,,0.06666666666666667,1.01864413022995
ag_news,minilm,tda_bottleneck_h0,no_drift,200,150,50,123,,,0.0,0.7436936974525452
ag_news,minilm,tda_h0_max_lifetime,no_drift,200,150,50,123,,,0.06666666666666667,0.7436936974525452
ag_news,minilm,tda_h0_mean_lifetime,no_drift,200,150,50,123,,,0.0,0.7436936974525452
